lane_id,det_id
121657047#1_0,e1det_121657047#1_0
121778742#3_0,e1det_121778742#3_0
121778742#3_1,e1det_121778742#3_1
121778742#3_2,e1det_121778742#3_2
121778742#4_0,e1det_121778742#4_0
121778742#4_1,e1det_121778742#4_1
121778742#4_2,e1det_121778742#4_2
121778743#0_0,e1det_121778743#0_0
121778743#0_1,e1det_121778743#0_1
121778743#0_2,e1det_121778743#0_2
121778769#1_0,e1det_121778769#1_0
121778769#3_0,e1det_121778769#3_0
121781869_0,e1det_121781869_0
121781874_0,e1det_121781874_0
121904216#2_0,e1det_121904216#2_0
121904216#2_1,e1det_121904216#2_1
121980931_0,e1det_121980931_0
121981776#3_0,e1det_121981776#3_0
121981776#4_0,e1det_121981776#4_0
121981776#5_0,e1det_121981776#5_0
121982785#5_0,e1det_121982785#5_0
121982785#6_0,e1det_121982785#6_0
121982785#7_0,e1det_121982785#7_0
121988914_0,e1det_121988914_0
121988929#5_0,e1det_121988929#5_0
121991163_0,e1det_121991163_0
121991164_0,e1det_121991164_0
121991960#5_0,e1det_121991960#5_0
121991960#6_0,e1det_121991960#6_0
121991960#7_0,e1det_121991960#7_0
121991961_0,e1det_121991961_0
122020348#14_0,e1det_122020348#14_0
122100440#1_0,e1det_122100440#1_0
122100440#2_0,e1det_122100440#2_0
122345027#0_0,e1det_122345027#0_0
122345027#3_0,e1det_122345027#3_0
122346047_0,e1det_122346047_0
127485852#3_0,e1det_127485852#3_0
127485852#4_0,e1det_127485852#4_0
127485853#2_0,e1det_127485853#2_0
127485853#4_0,e1det_127485853#4_0
127635192#1_0,e1det_127635192#1_0
127635192#1_1,e1det_127635192#1_1
127635194#1_0,e1det_127635194#1_0
127635194#1_1,e1det_127635194#1_1
127635205_0,e1det_127635205_0
127635208#0_0,e1det_127635208#0_0
127635208#0_1,e1det_127635208#0_1
127635208#1_0,e1det_127635208#1_0
127635208#1_1,e1det_127635208#1_1
127702580_0,e1det_127702580_0
128576354#0_0,e1det_128576354#0_0
128576354#0_1,e1det_128576354#0_1
128576354#1_0,e1det_128576354#1_0
128576354#1_1,e1det_128576354#1_1
128576354#2_0,e1det_128576354#2_0
128576354#2_1,e1det_128576354#2_1
128620742#2_0,e1det_128620742#2_0
128620748#2_0,e1det_128620748#2_0
128620755_0,e1det_128620755_0
128620759_0,e1det_128620759_0
128620760_0,e1det_128620760_0
128620761_0,e1det_128620761_0
128620766_0,e1det_128620766_0
128620767_0,e1det_128620767_0
128620775#1_0,e1det_128620775#1_0
128620775#4_0,e1det_128620775#4_0
128620782#1_0,e1det_128620782#1_0
128620787_0,e1det_128620787_0
128620790#2_0,e1det_128620790#2_0
128620790#5_0,e1det_128620790#5_0
128620791#0_0,e1det_128620791#0_0
128620791#1_0,e1det_128620791#1_0
128620791#2_0,e1det_128620791#2_0
128620791#4_0,e1det_128620791#4_0
128620796#1_0,e1det_128620796#1_0
128620799#0_0,e1det_128620799#0_0
128620799#1_0,e1det_128620799#1_0
128620799#2_0,e1det_128620799#2_0
128620801_0,e1det_128620801_0
128624210#2_0,e1det_128624210#2_0
128624210#2_1,e1det_128624210#2_1
128624210#2_2,e1det_128624210#2_2
128624211#0_0,e1det_128624211#0_0
128624211#2_0,e1det_128624211#2_0
128624218#2_0,e1det_128624218#2_0
128624218#3_0,e1det_128624218#3_0
128624218#4_0,e1det_128624218#4_0
128625055#2_0,e1det_128625055#2_0
128625055#3_0,e1det_128625055#3_0
128625056#2_0,e1det_128625056#2_0
128625056#5_0,e1det_128625056#5_0
128625056#6_0,e1det_128625056#6_0
128686715#4_0,e1det_128686715#4_0
128690876#0_0,e1det_128690876#0_0
128690876#1_0,e1det_128690876#1_0
128690876#2_0,e1det_128690876#2_0
128690876#3_0,e1det_128690876#3_0
128690876#4_0,e1det_128690876#4_0
128690876#5_0,e1det_128690876#5_0
128753724_0,e1det_128753724_0
128753728_0,e1det_128753728_0
128753744_0,e1det_128753744_0
128981920#0_0,e1det_128981920#0_0
136511986#1_0,e1det_136511986#1_0
136511986#3_0,e1det_136511986#3_0
136511986#4_0,e1det_136511986#4_0
136511986#6_0,e1det_136511986#6_0
136511986#7_0,e1det_136511986#7_0
136511990#3_0,e1det_136511990#3_0
136511990#4_0,e1det_136511990#4_0
136511990#5_0,e1det_136511990#5_0
136511992#2_0,e1det_136511992#2_0
136511995#0_0,e1det_136511995#0_0
136511995#1_0,e1det_136511995#1_0
136511995#2_0,e1det_136511995#2_0
136511995#3_0,e1det_136511995#3_0
136511995#4_0,e1det_136511995#4_0
136511995#6_0,e1det_136511995#6_0
136511997#2_0,e1det_136511997#2_0
136511998#2_0,e1det_136511998#2_0
136511998#4_0,e1det_136511998#4_0
136512001#1_0,e1det_136512001#1_0
136512001#4_0,e1det_136512001#4_0
136512002#0_0,e1det_136512002#0_0
136512002#1_0,e1det_136512002#1_0
136512002#2_0,e1det_136512002#2_0
136512002#3_0,e1det_136512002#3_0
136512002#4_0,e1det_136512002#4_0
136512002#6_0,e1det_136512002#6_0
136512002#7_0,e1det_136512002#7_0
